,상품명,url,tags
0,[힛탠다드 이벤트] 힛탠다드 맨즈 크루 넥 티셔츠 [블랙]...,https://www.musinsa.com/app/goods/1639756,"['#동내의', '#내복', '#이너웨어', '#기능성', '#발열', '#기모', '#히트', '#언더웨어', '#힛탠다드']"
1,사피아노 신세틱 레더 벨트,https://www.musinsa.com/app/goods/1220731,"['#가죽', '#수트', '#인조가죽', '#정장', '#클래식', '#페이크레더', '#레더컬렉션']"
2,[유아인 착용 상품] 테이퍼드 히든 밴딩 크롭 슬랙스 [블...,https://www.musinsa.com/app/goods/1149328,"['#정장바지', '#퍼펙트슬랙스', '#정장팬츠', '#허리밴딩', '#셋업', '#유아인착장상품', '#무탠픽업']"
3,[힛탠다드 이벤트] 힛탠다드 맨즈 타이즈 [블랙],https://www.musinsa.com/app/goods/1639235,"['#동내의', '#내복', '#이너웨어', '#기능성', '#발열', '#기모', '#히트', '#언더웨어', '#힛탠다드', '#무탠픽업']"
4,[유아인 착용 상품] 세미 와이드 히든 밴딩 슬랙스 [블랙...,https://www.musinsa.com/app/goods/1149329,"['#루즈핏', '#셋업팬츠', '#와이드핏', '#정장바지', '#퍼펙트슬랙스', '#와이드', '#유아인착장상품', '#무탠픽업']"
5,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],https://www.musinsa.com/app/goods/996177,"['#기본티', '#라운드넥', '#무지티', '#반팔티', '#MU-T', '#유아인착장상품', '#베이식']"
6,[유아인 착용 상품] 와이드 히든 밴딩 슬랙스 [블랙],https://www.musinsa.com/app/goods/1168906,"['#정장바지', '#퍼펙트슬랙스', '#트라우저', '#셋업', '#와이드팬츠', '#루즈핏', '#와이드핏', '#유아인착장상품', '#무탠픽업']"
7,베이식 긴팔 티셔츠 [화이트],https://www.musinsa.com/app/goods/1144989,"['#기본티', '#긴팔티', '#라운드넥', '#루즈핏', '#면티셔츠', '#무지티', '#무탠픽업', '#긴소매티']"
8,맨즈 드로즈 3팩,https://www.musinsa.com/app/goods/803032,"['#기능성', '#언더웨어', '#에어로쿨', '#무탠픽업', '#세트상품']"
9,라이트웨이트 크루 삭스 7팩 [화이트],https://www.musinsa.com/app/goods/991339,"['#여름양말', '#커플양말', '#얇은양말', '#면양말', '#코마사', '#팩양말', '#라이트웨이트컬렉션', '#라이트웨이트', '#세트상품']"
